id	level	display_name	normalized_name	wiki_title
56739046	1	Knowledge management	knowledge management	Knowledge management
114614502	1	Combinatorics	combinatorics	Combinatorics
8058405	1	Geophysics	geophysics	Geophysics
167562979	1	Classical economics	classical economics	Classical economics
52119013	1	Art history	art history	Art history
183696295	1	Biochemical engineering	biochemical engineering	Biochemical engineering
155647269	1	Medicinal chemistry	medicinal chemistry	Medicinal chemistry
170154142	1	Architectural engineering	architectural engineering	Architectural engineering
459310	1	Computational science	computational science	Computational science
91375879	1	Environmental planning	environmental planning	Environmental planning
116915560	1	Nuclear engineering	nuclear engineering	Nuclear engineering
125565743	1	Algebra	algebra	Algebra
73484699	1	Criminology	criminology	Criminology
166957645	1	Archaeology	archaeology	Archaeology
136264566	1	Economy	economy	Economy
119857082	1	Machine learning	machine learning	Machine learning
42407357	1	Physiology	physiology	Physiology
30475298	1	Computational physics	computational physics	Computational physics
77088390	1	Database	database	Database
41895202	1	Linguistics	linguistics	Linguistics
194828623	1	Emergency medicine	emergency medicine	Emergency medicine
49204034	1	Climatology	climatology	Climatology
118487528	1	Ophthalmology	ophthalmology	Ophthalmology
145420912	1	Mathematics education	mathematics education	Mathematics education
33070731	1	Toxicology	toxicology	Toxicology
77595967	1	Forensic engineering	forensic engineering	Forensic engineering
145236788	1	Labour economics	labour economics	Labour economics
142724271	1	Pathology	pathology	Pathology
18903297	1	Ecology	ecology	Ecology
159467904	1	Chemical physics	chemical physics	Chemical physics
99508421	1	Physical medicine and rehabilitation	physical medicine and rehabilitation	Physical medicine and rehabilitation
98274493	1	Pharmacology	pharmacology	Pharmacology
19165224	1	Anthropology	anthropology	Anthropology
186060115	1	Biological system	biological system	Biological system
188147891	1	Cognitive science	cognitive science	Cognitive science
74909509	1	Gerontology	gerontology	Gerontology
121864883	1	Statistical physics	statistical physics	Statistical physics
15708023	1	Humanities	humanities	Humanities
6303427	1	Economic history	economic history	Economic history
107872376	1	Environmental chemistry	environmental chemistry	Environmental chemistry
121684516	1	Computer graphics (images)	computer graphics images	Computer graphics
126255220	1	Mathematical optimization	mathematical optimization	Mathematical optimization
149923435	1	Demography	demography	Demography
34447519	1	Market economy	market economy	Market economy
57879066	1	Mechanics	mechanics	Mechanics
17409809	1	Geochemistry	geochemistry	Geochemistry
505870484	1	Fishery	fishery	Fishery
19417346	1	Pedagogy	pedagogy	Pedagogy
24667770	1	Religious studies	religious studies	Religious studies
187320778	1	Geotechnical engineering	geotechnical engineering	Geotechnical engineering
3079626	1	Quantum electrodynamics	quantum electrodynamics	Quantum electrodynamics
155202549	1	International trade	international trade	International trade
199104240	1	Marine engineering	marine engineering	Marine engineering
59822182	1	Botany	botany	Botany
188027245	1	Polymer chemistry	polymer chemistry	Polymer chemistry
99454951	1	Environmental health	environmental health	Environmental health
11413529	1	Algorithm	algorithm	Algorithm
90924648	1	Gastroenterology	gastroenterology	Gastroenterology
4249254	1	Demographic economics	demographic economics	Demographic economics
54750564	1	Commerce	commerce	Commerce
118524514	1	Computer architecture	computer architecture	Computer architecture
175605778	1	Natural resource economics	natural resource economics	Natural resource economics
112698675	1	Advertising	advertising	Advertising
187736073	1	Management	management	Management
31258907	1	Computer network	computer network	Computer network
54355233	1	Genetics	genetics	Genetics
111472728	1	Epistemology	epistemology	Epistemology
65244806	1	Control theory	control theory	Control theory
107053488	1	Construction engineering	construction engineering	Construction engineering
136229726	1	Biomedical engineering	biomedical engineering	Biomedical engineering
43617362	1	Chromatography	chromatography	Chromatography
200601418	1	Reliability engineering	reliability engineering	Reliability engineering
47768531	1	Development economics	development economics	Development economics
1965285	1	Earth science	earth science	Earth science
40700	1	Industrial organization	industrial organization	Industrial organization
171250308	1	Nanotechnology	nanotechnology	Nanotechnology
126348684	1	Polymer science	polymer science	Polymer science
16674752	1	Mining engineering	mining engineering	Mining engineering
31972630	1	Computer vision	computer vision	Computer vision
526734887	1	Environmental protection	environmental protection	Environmental protection
61696701	1	Engineering physics	engineering physics	Engineering physics
29456083	1	Gynecology	gynecology	Gynaecology
78519656	1	Mechanical engineering	mechanical engineering	Mechanical engineering
6557445	1	Agronomy	agronomy	Agronomy
126322002	1	Internal medicine	internal medicine	Internal medicine
97355855	1	Thermodynamics	thermodynamics	Thermodynamics
10138342	1	Finance	finance	Finance
190253527	1	Law and economics	law and economics	Law and economics
147789679	1	Physical chemistry	physical chemistry	Physical chemistry
118084267	1	Positive economics	positive economics	Positive economics
74363100	1	Economic system	economic system	Economic system
139719470	1	Macroeconomics	macroeconomics	Macroeconomics
201995342	1	Systems engineering	systems engineering	Systems engineering
509550671	1	Medical education	medical education	Medical education
49774154	1	Multimedia	multimedia	Multimedia
66938386	1	Structural engineering	structural engineering	Structural engineering
169760540	1	Neuroscience	neuroscience	Neuroscience
121955636	1	Accounting	accounting	Accounting
8010536	1	Crystallography	crystallography	Crystallography
118552586	1	Psychiatry	psychiatry	Psychiatry
162118730	1	Actuarial science	actuarial science	Actuarial science
134560507	1	Environmental economics	environmental economics	Environmental economics
16005928	1	Dermatology	dermatology	Dermatology
162853370	1	Marketing	marketing	Marketing
524765639	1	Water resource management	water resource management	Water resource management
44154836	1	Simulation	simulation	Simulation
179104552	1	Inorganic chemistry	inorganic chemistry	Inorganic chemistry
153294291	1	Meteorology	meteorology	Meteorology
171146098	1	Automotive engineering	automotive engineering	Automotive engineering
203014093	1	Immunology	immunology	Immunology
71240020	1	Stereochemistry	stereochemistry	Stereochemistry
77805123	1	Social psychology	social psychology	Social psychology
22212356	1	Transport engineering	transport engineering	Transportation engineering
141071460	1	Surgery	surgery	Surgery
24890656	1	Acoustics	acoustics	Acoustics
11171543	1	Psychoanalysis	psychoanalysis	Psychoanalysis
37037264	1	Hydrology	hydrology	Hydrology
502942594	1	Cancer research	cancer research	Cancer research
147176958	1	Civil engineering	civil engineering	Civil engineering
61434518	1	General surgery	general surgery	General surgery
105702510	1	Anatomy	anatomy	Anatomy
126794175	1	Topology	topology	Topology
107993555	1	Gender studies	gender studies	Gender studies
79403827	1	Real-time computing	real time computing	Real-time computing
28490314	1	Speech recognition	speech recognition	Speech recognition
55587333	1	Engineering ethics	engineering ethics	Engineering ethics
23123220	1	Information retrieval	information retrieval	Information retrieval
75473681	1	Photochemistry	photochemistry	Photochemistry
120314980	1	Distributed computing	distributed computing	Distributed computing
76155785	1	Telecommunications	telecommunications	Telecommunication
42360764	1	Chemical engineering	chemical engineering	Chemical engineering
2549261	1	Ethnology	ethnology	Ethnology
88463610	1	Agricultural engineering	agricultural engineering	Agricultural engineering
74916050	1	Classics	classics	Classics
26873012	1	Condensed matter physics	condensed matter physics	Condensed matter physics
107457646	1	Human–computer interaction	human computer interaction	Human–computer interaction
195244886	1	Ancient history	ancient history	Ancient history
120665830	1	Optics	optics	Optics
21951064	1	Combinatorial chemistry	combinatorial chemistry	Combinatorial chemistry
159390177	1	Soil science	soil science	Soil science
199343813	1	Dentistry	dentistry	Dentistry
49040817	1	Optoelectronics	optoelectronics	Optoelectronics
178790620	1	Organic chemistry	organic chemistry	Organic chemistry
126894567	1	Urology	urology	Urology
78762247	1	Petroleum engineering	petroleum engineering	Petroleum engineering
153349607	1	Visual arts	visual arts	Visual arts
159110408	1	Nursing	nursing	Nursing
46141821	1	Nuclear magnetic resonance	nuclear magnetic resonance	Nuclear magnetic resonance
545542383	1	Medical emergency	medical emergency	Medical emergency
38652104	1	Computer security	computer security	Computer security
126838900	1	Radiology	radiology	Radiology
191897082	1	Metallurgy	metallurgy	Metallurgy
138921699	1	Political economy	political economy	Political economy
113775141	1	Computer engineering	computer engineering	Computer engineering
33577790	1	Calculus	calculus	Calculus
87355193	1	Astrobiology	astrobiology	Astrobiology
1862650	1	Physical therapy	physical therapy	Physical therapy
144237770	1	Mathematical economics	mathematical economics	Mathematical economics
556039675	1	Traditional medicine	traditional medicine	Traditional medicine
118615104	1	Discrete mathematics	discrete mathematics	Discrete mathematics
199539241	1	Law	law	Law
115903868	1	Software engineering	software engineering	Software engineering
12554922	1	Biophysics	biophysics	Biophysics
542102704	1	Psychotherapist	psychotherapist	Psychotherapy
74650414	1	Classical mechanics	classical mechanics	Classical mechanics
548081761	1	Waste management	waste management	Waste management
528095902	1	Pulp and paper industry	pulp and paper industry	Pulp and paper industry
539667460	1	Management science	management science	Management science
1276947	1	Astronomy	astronomy	Astronomy
109214941	1	Particle physics	particle physics	Particle physics
161191863	1	Library science	library science	Library science
165556158	1	Keynesian economics	keynesian economics	Keynesian economics
18547055	1	International economics	international economics	International economics
146978453	1	Aerospace engineering	aerospace engineering	Aerospace engineering
199289684	1	Mineralogy	mineralogy	Mineralogy
100970517	1	Physical geography	physical geography	Physical geography
195094911	1	Process management	process management	Process management
13965031	1	Nuclear chemistry	nuclear chemistry	Nuclear chemistry
19527891	1	Medical physics	medical physics	Medical physics
9390403	1	Computer hardware	computer hardware	Computer hardware
159985019	1	Composite material	composite material	Composite material
144027150	1	Horticulture	horticulture	Horticulture
28826006	1	Applied mathematics	applied mathematics	Applied mathematics
