parent_name	level	display_name	normalized_name	wiki_title	wiki_title_second	wiki_title_third
artificial intelligence	2	Reinforcement learning	reinforcement learning	Reinforcement learning		
artificial intelligence	2	Neuro-Symbolic AI	neuro-symbolic ai	Neuro-symbolic AI		
artificial intelligence	2	Game Theory	game theory	Game theory		
artificial intelligence	3	Agent architectures	agent architectures	Agent architecture		
artificial intelligence	3	Bayesian learning mechanisms	bayesian learning mechanisms	Bayesian learning mechanisms		
artificial intelligence	3	Bayesian inference	bayesian inference	Bayesian inference		
artificial intelligence	3	Cognitive architectures	cognitive architectures	Cognitive architecture		
artificial intelligence	3	Computational creativity	computational creativity	Computational creativity		
artificial intelligence	3	Neural coding	neural coding	Neural coding		
artificial intelligence	3	Adversarial machine learning	adversarial machine learning	Adversarial machine learning		
artificial intelligence	3	Facial recognition	facial recognition	Facial recognition		
artificial intelligence	3	Gesture recognition	gesture recognition	Gesture recognition		
artificial intelligence	3	Pose tracking	pose tracking	Pose tracking		
artificial intelligence	3	Computational photography	computational photography	Computational photography		
artificial intelligence	3	Text-to-image-models	text-to-image-models	Text-to-image model		
artificial intelligence	3	Synthetic media	synthetic media	Synthetic media		
artificial intelligence	3	Image retrieval	image retrieval	Image retrieval		
artificial intelligence	3	Program optimization	program optimization	Program optimization		
artificial intelligence	3	Mathematical optimization	mathematical optimization	Mathematical optimization		
artificial intelligence	3	Motion analysis	motion analysis	Motion analysis		
artificial intelligence	3	Object detection	object detection	Object detection		
artificial intelligence	3	Object categorization from image search	object categorization from image search	Object categorization from image search		
artificial intelligence	3	Image segmentation	image segmentation	Image segmentation		
artificial intelligence	3	Activity recognition	activity recognition	Activity recognition		
artificial intelligence	3	Robotic sensing	robotic sensing	Robotic sensing		
artificial intelligence	3	Self-driving cars	self-driving cars	Self-driving cars		
artificial intelligence	3	Vehicular automation	vehicular automation	Vehicular automation		
artificial intelligence	3	Constraint learning	constraint learning	Constraint learning		
artificial intelligence	3	Distributed constraint optimization	distributed constraint optimization	Distributed constraint optimization		
artificial intelligence	3	Discrete optimization	discrete optimization	Discrete optimization		
artificial intelligence	3	Continuous optimization	continuous optimization	Continuous optimization		
artificial intelligence	3	Satisfiability modulo theories	satisfiability modulo theories	Satisfiability modulo theories		
artificial intelligence	3	Anomaly Detection	anomaly detection	Anomaly detection		
artificial intelligence	3	Chatbots	chatbots	Chatbot		
artificial intelligence	3	Dialogue systems	dialogue systems	Dialogue system		
artificial intelligence	3	Recommender systems	recommender systems	Recommender system		
artificial intelligence	3	Data stream mining	data stream mining	Data stream mining		
artificial intelligence	3	Data and information visualization	data and information visualization	Data and information visualization		
artificial intelligence	3	Structure mining	structure mining	Structure mining		
artificial intelligence	3	Social network analysis	social network analysis	Social network analysis		
artificial intelligence	3	Knowledge graphs	knowledge graphs	Knowledge graph		
artificial intelligence	3	Knowledge bases	knowledge bases	Knowledge base		
artificial intelligence	3	Collaborative filtering	collaborative filtering	Collaborative filtering		
artificial intelligence	3	Information retrieval	information retrieval	Information retrieval		
artificial intelligence	3	Auction theory	auction theory	Auction theory		
artificial intelligence	3	Market systems	market systems	Market system		
artificial intelligence	3	Behavioral game theory	behavioral game theory	Behavioral game theory		
artificial intelligence	3	Computer simulation	computer simulation	Computer simulation		
artificial intelligence	3	Cooperative game theory	cooperative game theory	Cooperative game theory		
artificial intelligence	3	Economic equilibrium	economic equilibrium	Economic equilibrium		
artificial intelligence	3	Fair division	fair division	Fair division		
artificial intelligence	3	General game playing	general game playing	General game playing		
artificial intelligence	3	Mechanism design	mechanism design	Mechanism design		
artificial intelligence	3	Negotiation theory	negotiation theory	Negotiation theory		
artificial intelligence	3	Social choice theory	social choice theory	Social choice theory		
artificial intelligence	3	Voting behavior	voting behavior	Voting behavior		
artificial intelligence	3	Human-based computation	human-based computation	Human-based computation		
artificial intelligence	3	Crowdsourcing	crowdsourcing	Crowdsourcing		
artificial intelligence	3	Human-based computation game	human-based computation game	Human-based computation game		
artificial intelligence	3	Procedural generation	procedural generation	Procedural generation		
artificial intelligence	3	Virtual humans	virtual humans	Virtual human		
artificial intelligence	3	Human-agent teaming	human-agent teaming	Human-agent team		
artificial intelligence	3	Human-computer interaction	human-computer interaction	Human-computer interaction		
artificial intelligence	3	Intelligent user interfaces	intelligent user interfaces	Intelligent user interface		
artificial intelligence	3	Preference learning	preference learning	Preference learning		
artificial intelligence	3	Automated reasoning	automated reasoning	Automated reasoning		
artificial intelligence	3	Automated theorem proving	automated theorem proving	Automated theorem proving		
artificial intelligence	3	Case-Based reasoning	case-based reasoning	Case-based reasoning		
artificial intelligence	3	Commonsense reasoning	commonsense reasoning	Commonsense reasoning		
artificial intelligence	3	Description logic	description logic	Description logic		
artificial intelligence	3	Diagnosis	diagnosis	Diagnosis (artificial intelligence)		
artificial intelligence	3	Abductive reasoning	abductive reasoning	Abductive reasoning		
artificial intelligence	3	Spatial-temporal reasoning	spatial-temporal reasoning	Spatial-temporal reasoning		
artificial intelligence	3	Knowledge acquisition	knowledge acquisition	Knowledge acquisition		
artificial intelligence	3	Knowledge engineering	knowledge engineering	Knowledge engineering		
artificial intelligence	3	Knowledge representation and reasoning	knowledge representation and reasoning	Knowledge representation and reasoning		
artificial intelligence	3	Ontology language	ontology language	Ontology language		
artificial intelligence	3	Logic programming	logic programming	Logic programming		
artificial intelligence	3	Nonmonotonic logic	nonmonotonic logic	Nonmonotonic logic		
artificial intelligence	3	Qualitative reasoning	qualitative reasoning	Qualitative reasoning		
artificial intelligence	3	Active learning	active learning	Active learning (machine learning)		
artificial intelligence	3	Robustness	robustness	Robustness (computer science)		
artificial intelligence	3	Bio-inspired computing	bio-inspired computing	Bio-inspired computing		
artificial intelligence	3	Uncertainty quantification	uncertainty quantification	Uncertainty quantification		
artificial intelligence	3	Statistical classification	statistical classification	Statistical classification		
artificial intelligence	3	Regression analysis	regression analysis	Regression analysis		
artificial intelligence	3	Cluster analysis	cluster analysis	Cluster analysis		
artificial intelligence	3	Deep learning	deep learning	Deep learning		
artificial intelligence	3	Neural networks	neural networks	Neural network		
artificial intelligence	3	Statistical learning theory	statistical learning theory	Statistical learning theory		
artificial intelligence	3	Dimensionality reduction	dimensionality reduction	Dimensionality reduction		
artificial intelligence	3	Feature selection	feature selection	Feature selection		
artificial intelligence	3	Distributed artificial intelligence	distributed artificial intelligence	Distributed artificial intelligence		
artificial intelligence	3	Federated learning	federated learning	Federated learning		
artificial intelligence	3	Ethics of Artificial Intelligence	ethics of artificial intelligence	Ethics of artificial intelligence		
artificial intelligence	3	Algorithmic bias	algorithmic bias	Algorithmic bias		
artificial intelligence	3	Fairness	fairness	Fairness (machine learning)		
artificial intelligence	3	Ensemble learning	ensemble learning	Ensemble learning		
artificial intelligence	3	Evolutionary computation	evolutionary computation	Evolutionary computation		
artificial intelligence	3	Hyperparameter optimization	hyperparameter optimization	Hyperparameter optimization		
artificial intelligence	3	AI alignment	ai alignment	AI alignment		
artificial intelligence	3	Kernel methods	kernel methods	Kernel method		
artificial intelligence	3	Learning to rank	learning to rank	Learning to rank		
artificial intelligence	3	Multiclass classification	multiclass classification	Multiclass classification		
artificial intelligence	3	Multi-label classification	multi-label classification	Multi-label classification		
artificial intelligence	3	Multimodal learning	multimodal learning	Multimodal learning		
artificial intelligence	3	Generative models	generative models	Generative model		
artificial intelligence	3	Generative artificial intelligence	generative artificial intelligence	Generative artificial intelligence		
artificial intelligence	3	Autoencoders	autoencoders	Autoencoders		
artificial intelligence	3	Online machine learning	online machine learning	Online machine learning		
artificial intelligence	3	Multi-armed bandits	multi-armed bandits	Multi-armed bandit		
artificial intelligence	3	Graphical models	graphical models	Graphical model		
artificial intelligence	3	Quantum machine learning	quantum machine learning	Quantum machine learning		
artificial intelligence	3	Weak supervision	weak supervision	Weak supervision		
artificial intelligence	3	Structured prediction	structured prediction	Structured prediction		
artificial intelligence	3	Transfer learning	transfer learning	Transfer learning		
artificial intelligence	3	Multi-task learning	multi-task learning	Multi-task learning		
artificial intelligence	3	Meta-learning	meta-learning	Meta-learning (computer science)		
artificial intelligence	3	Unsupervised learning	unsupervised learning	Unsupervised learning		
artificial intelligence	3	Self-supervised learning	self-supervised learning	Self-supervised learning		
artificial intelligence	3	Multi-agent systems	multi-agent systems	Multi-agent system		
artificial intelligence	3	Agent-based social simulation	agent-based social simulation	Agent-based social simulation		
artificial intelligence	3	Agent-based modeling	agent-based modeling	Agent-based modeling		
artificial intelligence	3	Emergent algorithms	emergent algorithms	Emergent algorithm		
artificial intelligence	3	Multi-agent reinforcement learning	multi-agent reinforcement learning	Multi-agent reinforcement learning		
artificial intelligence	3	Multi-agent planning	multi-agent planning	Multi-agent planning		
artificial intelligence	3	Explainable artificial intelligence	explainable artificial intelligence	Explainable artificial intelligence		
artificial intelligence	3	Artificial intelligence in government	artificial intelligence in government	Artificial intelligence in government		
artificial intelligence	3	Regulation of artificial intelligence	regulation of artificial intelligence	Regulation of artificial intelligence		
artificial intelligence	3	Artificial general intelligence	artificial general intelligence	Artificial general intelligence		
artificial intelligence	3	AI safety	ai safety	AI safety		
artificial intelligence	3	Trustworthy computing	trustworthy computing	Trustworthy computing		
artificial intelligence	3	Markov decision processes	markov decision processes	Markov decision process		
artificial intelligence	3	Partially observable markov decision processes	partially observable markov decision processes	Partially observable markov decision process		
artificial intelligence	3	Model-based reasoning	model-based reasoning	Model-based reasoning		
artificial intelligence	3	Automated planning and scheduling	automated planning and scheduling	Automated planning and scheduling		
artificial intelligence	3	Bayesian networks	bayesian networks	Bayesian network		
artificial intelligence	3	Probabilistic programming	probabilistic programming	Probabilistic programming		
artificial intelligence	3	Sequential decision making	sequential decision making	Sequential decision making		
artificial intelligence	3	Stochastic optimization	stochastic optimization	Stochastic optimization		
artificial intelligence	3	Robot control	robot control	Robot control		
artificial intelligence	3	Robot learning	robot learning	Robot learning		
artificial intelligence	3	Cognitive robotics	cognitive robotics	Cognitive robotics		
artificial intelligence	3	Human-robot interaction	human-robot interaction	Human-robot Interaction		
artificial intelligence	3	Robot localization	robot localization	Robot localization		
artificial intelligence	3	Robotic mapping	robotic mapping	Robotic mapping		
artificial intelligence	3	Robot navigation	robot navigation	Robot navigation		
artificial intelligence	3	Motion planning	motion planning	Motion planning		
artificial intelligence	3	Sensor fusion	sensor fusion	Sensor fusion		
artificial intelligence	3	Distributed search engine	distributed search engine	Distributed search engine		
artificial intelligence	3	Metaheuristics	metaheuristics	Metaheuristic		
artificial intelligence	3	Argument mining	argument mining	Argument mining		
artificial intelligence	3	Information extraction	information extraction	Information extraction		
artificial intelligence	3	Language model	language model	Language model		
artificial intelligence	3	Semantic parsing	semantic parsing	Semantic parsing		
artificial intelligence	3	Machine translation	machine translation	Machine translation		
artificial intelligence	3	Ontology learning	ontology learning	Ontology learning		
artificial intelligence	3	Question answering	question answering	Question answering		
artificial intelligence	3	Speech processing	speech processing	Speech processing		
artificial intelligence	3	Signal processing	signal processing	Signal processing		
artificial intelligence	3	Speech synthesis	speech synthesis	Speech synthesis		
artificial intelligence	3	Text mining	text mining	Text mining		
artificial intelligence	3	Automatic summarization	automatic summarization	Automatic summarization		
artificial intelligence	3	Shallow parsing	shallow parsing	Shallow parsing		
artificial intelligence	3	Parsing	parsing	Parsing		
artificial intelligence	3	Document classification	document classification	Document classification		
artificial intelligence	3	Sentiment analysis	sentiment analysis	Sentiment analysis		
artificial intelligence	3	Program synthesis	program synthesis	Program synthesis		
artificial intelligence	3	Neuroevolution	neuroevolution	Neuroevolution		
artificial intelligence	3	Neural architecture search	neural architecture search	Neural architecture search		
artificial intelligence	3	Artificial life	artificial life	Artificial life		
artificial intelligence	3	Genetic programming	genetic programming	Genetic programming		
artificial intelligence	3	Model predictive control	model predictive control	Model predictive control		
artificial intelligence	3	Offline learning	offline learning	Offline learning		
artificial intelligence	3	Deep reinforcement learning	deep reinforcement learning	Deep reinforcement learning		
artificial intelligence	3	Self-play	self-play	Self-play		
artificial intelligence	3	Mutual information	mutual information	Mutual information		
artificial intelligence	3	State space search	state space search	State space search		
artificial intelligence	3	Regularization	regularization	Regularization (mathematics)		
artificial intelligence	3	Intrinsic motivation	intrinsic motivation	Intrinsic motivation (artificial intelligence)		
artificial intelligence	3	Empowerment	empowerment	Empowerment (artificial intelligence)		
artificial intelligence	3	Generative adversarial networks	generative adversarial networks	Generative adversarial network		
artificial intelligence	3	Data augmentation	data augmentation	Data augmentation		
artificial intelligence	3	One-shot learning	one-shot learning	One-shot learning (computer vision)		
artificial intelligence	3	Domain adaptation	domain adaptation	Domain adaptation		
artificial intelligence	3	Knowledge distillation	knowledge distillation	Knowledge distillation		
artificial intelligence	3	Conditional random fields	conditional random fields	Conditional random fields		
artificial intelligence	3	Active contour model	active contour model	Active contour model		
artificial intelligence	3	Autoregressive model	autoregressive model	Autoregressive model		
artificial intelligence	3	Visual servoing	visual servoing	Visual servoing		
artificial intelligence	3	Optimal control	optimal control	Optimal control		
artificial intelligence	3	Robot locomotion	robot locomotion	Robot locomotion		
artificial intelligence	3	Simultaneous localization and mapping	simultaneous localization and mapping	Simultaneous localization and mapping		
artificial intelligence	3	Trajectory optimization	trajectory optimization	Trajectory optimization		
artificial intelligence	3	Collocation	collocation	Collocation (remote sensing)		
artificial intelligence	3	Neuromorphic engineering	neuromorphic engineering	Neuromorphic engineering		
artificial intelligence	3	Artificial consciousness	artificial consciousness	Artificial consciousness		
artificial intelligence	3	Artificial empathy	artificial empathy	Artificial empathy		
artificial intelligence	3	Weak artificial intelligence	weak artificial intelligence	Weak artificial intelligence		
semiconductors	2	Integrated circuit packaging	integrated circuit packaging	Integrated circuit packaging		
semiconductors	2	Die preparation	die preparation	Die preparation		
semiconductors	2	Wafer testing	wafer testing	Wafer testing		
semiconductors	2	Doping	doping	Doping (semiconductor)		
semiconductors	2	Etching	etching	Etching (microfabrication)		
semiconductors	2	Microlithography	microlithography	Microlithography		
semiconductors	2	Photolithography	photolithography	Photolithography		
semiconductors	2	Nanolithography	nanolithography	Nanolithography		
semiconductors	2	Microfabrication	microfabrication	Microfabrication		
semiconductors	2	3D microfabrication	3d microfabrication	3D microfabrication		
semiconductors	2	Wafer Fabrication	wafer fabrication	Wafer Fabrication		
semiconductors	2	Semiconductor device fabrication	semiconductor device fabrication	Semiconductor device fabrication		
semiconductors	3	Chip-scale packaging	chip-scale packaging	Chip-scale packaging		
semiconductors	3	Wafer dicing	wafer dicing	Wafer dicing		
semiconductors	3	Wafer backgrinding	wafer backgrinding	Wafer backgrinding		
semiconductors	3	Wire bonding	wire bonding	Wire bonding		
semiconductors	3	Transfer molding	transfer molding	Transfer molding		
semiconductors	3	Injection moulding	injection moulding	Injection moulding		
semiconductors	3	Wafer bonding	wafer bonding	Wafer bonding		
semiconductors	3	Ball bonding	ball bonding	Ball bonding		
semiconductors	3	Flip chip	flip chip	Flip chip		
semiconductors	3	Wedge bonding	wedge bonding	Wedge bonding		
semiconductors	3	Wafer-level packaging	wafer-level packaging	Wafer-level packaging		
semiconductors	3	System in a package	system in a package	System in a package		
semiconductors	3	System on a chip	system on a chip	System on a chip		
semiconductors	3	Automatic test equipment	automatic test equipment	Automatic test equipment		
semiconductors	3	Curve tracer	curve tracer	Curve tracer		
semiconductors	3	Burn-in	burn-in	Burn-in		
semiconductors	3	Dielectric withstand test	dielectric withstand test	Dielectric withstand test		
semiconductors	3	Chemical-mechanical polishing	chemical-mechanical polishing	Chemical-mechanical polishing		
semiconductors	3	Vacuum deposition	vacuum deposition	Vacuum deposition		
semiconductors	3	Ion beam deposition	ion beam deposition	Ion beam deposition		
semiconductors	3	Chemical vapor deposition	chemical vapor deposition	Chemical vapor deposition		
semiconductors	3	Physical vapor deposition	physical vapor deposition	Physical vapor deposition		
semiconductors	3	Atomic layer deposition	atomic layer deposition	Atomic layer deposition		
semiconductors	3	Electroplating	electroplating	Electroplating		
semiconductors	3	Metalorganic vapour-phase epitaxy	metalorganic vapour-phase epitaxy	Metalorganic vapour-phase epitaxy		
semiconductors	3	Molecular-beam epitaxy	molecular-beam epitaxy	Molecular-beam epitaxy		
semiconductors	3	Plasma-enhanced chemical vapor deposition	plasma-enhanced chemical vapor deposition	Plasma-enhanced chemical vapor deposition		
semiconductors	3	Ion implantation	ion implantation	Ion implantation		
semiconductors	3	Monolayer doping	monolayer doping	Monolayer doping		
semiconductors	3	RCA clean	rca clean	RCA clean		
semiconductors	3	Plasma etching	plasma etching	Plasma etching		
semiconductors	3	Photomask	photomask	Photomask		
semiconductors	3	Computational lithography	computational lithography	Computational lithography		
semiconductors	3	Photoresist	photoresist	Photoresist		
semiconductors	3	Mask inspection	mask inspection	Mask inspection		
semiconductors	3	Lithography stepper	lithography stepper	Stepper		
semiconductors	3	Electron-beam lithography	electron-beam lithography	Electron-beam lithography		
semiconductors	3	Ion milling machine	ion milling machine	Ion milling machine		
semiconductors	3	Ellipsometry	ellipsometry	Ellipsometry		
semiconductors	3	Atomic force microscopy	atomic force microscopy	Atomic force microscopy		
semiconductors	3	Shallow trench isolation	shallow trench isolation	Shallow trench isolation		
semiconductors	3	Rapid thermal processing	rapid thermal processing	Rapid thermal processing		
semiconductors	3	IC interconnect	ic interconnect	Interconnect (integrated circuits)		
semiconductors	3	MEMS	mems	MEMS		
semiconductors	3	DRAM	dram	Dynamic random-access memory		
semiconductors	3	Flash memory	flash memory	Flash memory		
semiconductors	3	Active-pixel sensor	active-pixel sensor	Active-pixel sensor		
semiconductors	3	Atomic layer etching	atomic layer etching	Atomic layer etching		
semiconductors	3	Reactive-ion etching	reactive-ion etching	Reactive-ion etching		
semiconductors	3	Deep reactive-ion etching	deep reactive-ion etching	Deep reactive-ion etching		
semiconductors	3	BGA packaging	bga packaging	Ball grid array		
semiconductors	3	Multi-chip module	multi-chip module	Multi-chip module		
semiconductors	3	Package on a package	package on a package	Package on a package		
semiconductors	3	Through-silicon via	through-silicon via	Through-silicon via		
semiconductors	3	Fan-out packaging	fan-out packaging	Fan-out wafer-level packaging		
semiconductors	3	eWLB packaging	ewlb packaging	Embedded wafer level ball grid array		
semiconductors	3	3D integrated circuit	3d integrated circuit	Three-dimensional integrated circuit		
semiconductors	3	Interposer	interposer	Interposer		
semiconductors	3	Dry etching	dry etching	Dry etching		
semiconductors	3	EUV lithography	euv lithography	Extreme ultraviolet lithography		
semiconductors	3	Immersion lithography	immersion lithography	Immersion lithography		
semiconductors	3	Multiple patterning	multiple patterning	Multiple patterning		
semiconductors	3	Maskless lithography	maskless lithography	Maskless lithography		
semiconductors	3	Resolution enhancement technologies	resolution enhancement technologies	Resolution enhancement technologies		
semiconductors	3	EDA software	eda software	Electronic design automation		
semiconductors	3	Design rule checking	design rule checking	Design rule checking		
semiconductors	3	Next-generation lithography	next-generation lithography	Next-generation lithography		
semiconductors	3	Phase-shift mask	phase-shift mask	Phase-shift mask		
semiconductors	3	Off-axis illumination	off-axis illumination	Off-axis illumination		
semiconductors	3	Optical proximity correction	optical proximity correction	Optical proximity correction		
semiconductors	3	Inverse lithography	inverse lithography	Inverse lithography		
semiconductors	3	X-ray lithography	x-ray lithography	X-ray lithography		
semiconductors	3	Quantum lithography	quantum lithography	Quantum lithography		
semiconductors	3	Ion beam lithography	ion beam lithography	Ion beam lithography		
semiconductors	3	CMOS	cmos	CMOS		
semiconductors	3	MOSFET	mosfet	MOSFET		
semiconductors	3	Field-effect transistor	field-effect transistor	Field-effect transistor		
biotechnology	2	Agricultural biotechnology	agricultural biotechnology	Agricultural biotechnology		
biotechnology	2	Environmental biotechnology	environmental biotechnology	Environmental biotechnology		
biotechnology	2	Medical biotechnology	medical biotechnology	Biotechnology#Medicine		
biotechnology	2	Biomedical engineering	biomedical engineering	Biomedical Engineering		
biotechnology	2	Biochemical and Bioproducts engineering	biochemical and bioproducts engineering	Biochemical Engineering	Bioproducts engineering	
biotechnology	2	Biological systems engineering	biological systems engineering	Biological Systems Engineering		
biotechnology	2	Biomolecular engineering	biomolecular engineering	Biomolecular Engineering		
biotechnology	3	Sustainable agriculture	sustainable agriculture	Sustainable agriculture		
biotechnology	3	Genetically modified crops	genetically modified crops	Genetically modified crops		
biotechnology	3	Synthetic biology	synthetic biology	Synthetic Biology		
biotechnology	3	Animal vaccine development	animal vaccine development	Animal_vaccination#Vaccine_production		
biotechnology	3	Biofertilizer	biofertilizer	Biofertilizer		
biotechnology	3	Cellular agriculture	cellular agriculture	Cellular agriculture		
biotechnology	3	Bioremediation	bioremediation	Bioremediation		
biotechnology	3	Renewable energy	renewable energy	Renewable energy		
biotechnology	3	Bioenergy	bioenergy	Bioenergy		
biotechnology	3	Biomass	biomass	Biomass (energy)		
biotechnology	3	Microbial biodegradation	microbial biodegradation	Microbial biodegradation		
biotechnology	3	Drug discovery	drug discovery	Drug discovery		
biotechnology	3	Drug development	drug development	Drug development		
biotechnology	3	Biopharmaceutical	biopharmaceutical	Biopharmaceutical		
biotechnology	3	Pharmaceutical manufacturing	pharmaceutical manufacturing	Pharmaceutical manufacturing		
biotechnology	3	Pharmaceutical engineering	pharmaceutical engineering	Pharmaceutical engineering		
biotechnology	3	Molecular diagnostics	molecular diagnostics	Molecular diagnostics		
biotechnology	3	Genetic testing	genetic testing	Genetic testing		
biotechnology	3	Pharmacogenomics	pharmacogenomics	Pharmacogenomics		
biotechnology	3	Personalized medicine	personalized medicine	Personalized medicine		
biotechnology	3	Cell therapy	cell therapy	Cell therapy		
biotechnology	3	Gene therapy	gene therapy	Gene therapy		
biotechnology	3	Biosensors	biosensors	Biosensor		
biotechnology	3	Fermentation in food processing	fermentation in food processing	Fermentation in food processing		
biotechnology	3	Genetically modified food	genetically modified food	Genetically modified food		
biotechnology	3	Food engineering	food engineering	Food engineering		
biotechnology	3	Food microbiology	food microbiology	Food microbiology		
biotechnology	3	Microbial food cultures	microbial food cultures	Microbial food cultures		
biotechnology	3	Neural engineering	neural engineering	Neural engineering		
biotechnology	3	Bionanotechnology	bionanotechnology	Bionanotechnology		
biotechnology	3	Clinical engineering	clinical engineering	Clinical engineering		
biotechnology	3	Biomechanical engineering	biomechanical engineering	Biomechanical engineering		
biotechnology	3	Genetic engineering	genetic engineering	Genetic engineering		
biotechnology	3	Tissue engineering	tissue engineering	Tissue engineering		
biotechnology	3	Cell engineering	cell engineering	Cell engineering		
biotechnology	3	Medical imaging	medical imaging	Medical Imaging		
biotechnology	3	Rehabilitation engineering	rehabilitation engineering	Rehabilitation engineering		
biotechnology	3	Biomedical instrumentation	biomedical instrumentation	Bioinstrumentation		
biotechnology	3	Biomaterials	biomaterials	Biomaterial		
biotechnology	3	Industrial fermentation	industrial fermentation	Industrial fermentation		
biotechnology	3	Feed manufacturing	feed manufacturing	Feed manufacturing		
biotechnology	3	Industrial enzymes	industrial enzymes	Industrial enzymes		
biotechnology	3	Biofabrication	biofabrication	Biofabrication		
biotechnology	3	Biofuel	biofuel	Biofuel		
biotechnology	3	Bioplastics	bioplastics	Bioplastic		
genetics	2	Quantitative genetics	quantitative genetics	Quantitative Genetics		
genetics	2	Classical genetics	classical genetics	Classical Genetics		
genetics	2	Behavioural genetics	behavioural genetics	Behavioural Genetics		
genetics	2	Molecular genetics	molecular genetics	Molecular Genetics		
genetics	2	Population genetics	population genetics	Population Genetics		
genetics	2	Medical genetics	medical genetics	Medical Genetics		
genetics	2	Epigenetics	epigenetics	Epigenetics		
genetics	2	Genomics	genomics	Genomics		
genetics	2	Genetic engineering	genetic engineering	Genetic engineering		
genetics	2	Microbial genetics	microbial genetics	Microbial Genetics		
genetics	2	Plant genetics	plant genetics	Plant Genetics		
genetics	3	Conservation genetics	conservation genetics	Conservation genetics		
genetics	3	Ecological genetics	ecological genetics	Ecological Genetics		
genetics	3	Landscape genetics	landscape genetics	Landscape genetics		
genetics	3	Phylogeography	phylogeography	Phylogeography		
genetics	3	Phylogenetics	phylogenetics	Phylogenetics		
genetics	3	Paleogenetics	paleogenetics	Paleogenetics		
genetics	3	Archaeogenetics	archaeogenetics	Archaeogenetics		
genetics	3	Immunogenetics	immunogenetics	Immunogenetics		
genetics	3	Genetic epidemiology	genetic epidemiology	Genetic epidemiology		
genetics	3	Cytogenetics	cytogenetics	Cytogenetics		
genetics	3	Molecular cytogenetics	molecular cytogenetics	Molecular cytogenetics		
genetics	3	Gene therapy	gene therapy	Gene therapy		
genetics	3	Personalized medicine	personalized medicine	Personalized medicine		
genetics	3	Predictive medicine	predictive medicine	Predictive medicine		
genetics	3	Oncogenomics	oncogenomics	Oncogenomics		
genetics	3	Human mitochondrial genetics	human mitochondrial genetics	Human mitochondrial genetics		
genetics	3	Neurogenetics	neurogenetics	Neurogenetics		
genetics	3	Pharmacogenomics	pharmacogenomics	Pharmacogenomics		
genetics	3	Genetic testing	genetic testing	Genetic testing		
