scholar_name,mag_name,jw,qgram,scholar_cat
American Journal of Physical Anthropology,American Journal of Plant Physiology,0.942,0.762,soc_anthropology
American Journal of Physical Anthropology,American Journal of Physiology,0.94,0.714,soc_anthropology
American Journal of Human Biology,American Journal of Human Biology,1,1,soc_anthropology
American Journal of Human Biology,American Journal of Immunology,0.962,0.735,soc_anthropology
American Journal of Human Biology,American Journal of Hematology,0.956,0.794,soc_anthropology
American Ethnologist,American Ethnologist,1,1,soc_anthropology
American Ethnologist,American Entomologist,0.95,0.773,soc_anthropology
American Ethnologist,American Anthropologist,0.934,0.708,soc_anthropology
American Anthropologist,American Anthropologist,1,1,soc_anthropology
American Anthropologist,African Anthropologist,0.96,0.875,soc_anthropology
American Anthropologist,American Entomologist,0.946,0.708,soc_anthropology
Symposium on Field Programmable Gate Arrays (FPGA),Symposium on Large Spatial Databases,0.867,0.353,eng_computerhardwaredesign
Symposium on Field Programmable Gate Arrays (FPGA),Symposium on Principles of Programming Languages,0.848,0.451,eng_computerhardwaredesign
Symposium on Field Programmable Gate Arrays (FPGA),Symposium on Frontiers of Massively Parallel Computation,0.848,0.421,eng_computerhardwaredesign
Microprocessors and Microsystems,Microprocessors and Microsystems,1,1,eng_computerhardwaredesign
Microprocessors and Microsystems,Microprocessors,0.894,0.485,eng_computerhardwaredesign
Microprocessors and Microsystems,Microprocessor Test and Verification,0.868,0.568,eng_computerhardwaredesign
International Conference on Computer Aided Verification (CAV),International Conference on Computer Aided Design,0.939,0.71,eng_computerhardwaredesign
International Conference on Computer Aided Verification (CAV),International Conference on Computer and Information Science,0.931,0.71,eng_computerhardwaredesign
International Conference on Computer Aided Verification (CAV),International Conference on Computer and Information Sciences,0.928,0.71,eng_computerhardwaredesign
IEEE/ACM International Symposium on Microarchitecture,"IEEE/ACM International Symposium Cluster, Cloud and Grid Computing",0.916,0.507,eng_computerhardwaredesign
IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM International Conference Utility and Cloud Computing,0.877,0.452,eng_computerhardwaredesign
IEEE/ACM International Symposium on Microarchitecture,IEEE/SICE International Symposium on System Integration,0.871,0.643,eng_computerhardwaredesign
IEEE/ACM International Conference on Computer-Aided Design (ICCAD),IEEE/ACM International Conference Utility and Cloud Computing,0.907,0.612,eng_computerhardwaredesign
IEEE/ACM International Conference on Computer-Aided Design (ICCAD),IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications,0.883,0.455,eng_computerhardwaredesign
IEEE/ACM International Conference on Computer-Aided Design (ICCAD),IEEE EMBS Asian-Pacific Conference on Biomedical Engineering,0.866,0.433,eng_computerhardwaredesign
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE Transactions on Very Large Scale Integration Systems,0.968,0.892,eng_computerhardwaredesign
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE Transactions on Cognitive and Developmental Systems,0.891,0.523,eng_computerhardwaredesign
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE Transactions on Aerospace and Electronic Systems,0.885,0.508,eng_computerhardwaredesign
IEEE Transactions on Computers,IEEE Transactions on Computers,1,1,eng_computerhardwaredesign
IEEE Transactions on Computers,IEEE Transactions on Component Parts,0.948,0.703,eng_computerhardwaredesign
IEEE Transactions on Computers,IEEE Transactions on Robotics,0.945,0.71,eng_computerhardwaredesign
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,1,1,eng_computerhardwaredesign
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE Transactions on Circuits and Systems I-regular Papers,0.878,0.577,eng_computerhardwaredesign
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE Transactions on Biomedical Circuits and Systems,0.878,0.564,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems II: Express Briefs,IEEE Transactions on Circuits and Systems Ii-express Briefs,0.98,0.951,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems II: Express Briefs,IEEE Transactions on Circuits and Systems,0.937,0.689,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems II: Express Briefs,IEEE Transactions on Circuits and Systems I-regular Papers,0.927,0.738,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE Transactions on Circuits and Systems I-regular Papers,0.976,0.95,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE Transactions on Circuits and Systems,0.939,0.7,eng_computerhardwaredesign
IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE Transactions on Circuits and Systems Ii-express Briefs,0.927,0.75,eng_computerhardwaredesign
IEEE Symposium on VLSI Circuits (VLSIC),IEEE Symposium on Ultrasonics,0.89,0.5,eng_computerhardwaredesign
IEEE Symposium on VLSI Circuits (VLSIC),IEEE Symposium on Security and Privacy,0.867,0.5,eng_computerhardwaredesign
IEEE Symposium on VLSI Circuits (VLSIC),IEEE Symposium on Visual Languages,0.863,0.5,eng_computerhardwaredesign
IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE Symposium on Neuroinformatics and Neurocomputers,0.878,0.46,eng_computerhardwaredesign
IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE Symposium on Wireless Technology and Applications,0.878,0.397,eng_computerhardwaredesign
IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE Symposium on Industrial Electronics and Applications,0.877,0.413,eng_computerhardwaredesign
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1,1,eng_computerhardwaredesign
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,0.873,0.526,eng_computerhardwaredesign
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,IEEE Journal on Selected Areas in Communications,0.87,0.478,eng_computerhardwaredesign
IEEE Journal of Solid-State Circuits,IEEE Journal of Solid-state Circuits,1,1,eng_computerhardwaredesign
IEEE Journal of Solid-State Circuits,IEEE Journal of Quantum Electronics,0.885,0.459,eng_computerhardwaredesign
IEEE Journal of Solid-State Circuits,IEEE Journal on Selected Areas in Communications,0.884,0.388,eng_computerhardwaredesign
IEEE International Symposium on Circuits and Systems,IEEE International Symposium on Asynchronous Circuits and Systems,0.929,0.803,eng_computerhardwaredesign
IEEE International Symposium on Circuits and Systems,IEEE International Symposium on Dynamic Spectrum Access Networks,0.924,0.554,eng_computerhardwaredesign
IEEE International Symposium on Circuits and Systems,IEEE International Symposium on Systems Engineering,0.919,0.755,eng_computerhardwaredesign
IEEE International Solid-State Circuits Conference,IEEE International Conference on Dielectrics,0.916,0.608,eng_computerhardwaredesign
IEEE International Solid-State Circuits Conference,IEEE International Smart Cities Conference,0.915,0.686,eng_computerhardwaredesign
IEEE International Solid-State Circuits Conference,IEEE International Pulsed Power Conference,0.907,0.588,eng_computerhardwaredesign
IEEE Design & Test,IEEE Design & Test of Computers,0.916,0.594,eng_computerhardwaredesign
IEEE Design & Test,IEEE Magnetics Letters,0.85,0.304,eng_computerhardwaredesign
IEEE Design & Test,IEEE Games Media Entertainment,0.847,0.258,eng_computerhardwaredesign
"Design, Automation and Test in Europe Conference and Exhibition (DATE)","Design, Automation, and Test in Europe",0.9,0.521,eng_computerhardwaredesign
"Design, Automation and Test in Europe Conference and Exhibition (DATE)",Design Automation Conference,0.851,0.408,eng_computerhardwaredesign
"Design, Automation and Test in Europe Conference and Exhibition (DATE)",Design and technology education : an international journal,0.832,0.437,eng_computerhardwaredesign
Design Automation Conference (DAC),Design Automation Conference,0.965,0.829,eng_computerhardwaredesign
Design Automation Conference (DAC),"Design, Automation, and Test in Europe",0.891,0.462,eng_computerhardwaredesign
Design Automation Conference (DAC),Design Automation for Embedded Systems,0.867,0.462,eng_computerhardwaredesign
Asia and South Pacific Design Automation Conference (ASP-DAC),Asia and South Pacific Design Automation Conference,0.967,0.839,eng_computerhardwaredesign
Asia and South Pacific Design Automation Conference (ASP-DAC),Asian Journal of Biomedical and Pharmaceutical Sciences,0.853,0.387,eng_computerhardwaredesign
Asia and South Pacific Design Automation Conference (ASP-DAC),Asia Pacific Conference on Circuits and Systems,0.85,0.5,eng_computerhardwaredesign
Utilities Policy,Utilities Policy,1,1,bus_economicpolicy
Utilities Policy,Utilities Law Review,0.87,0.476,bus_economicpolicy
Utilities Policy,Utilitas,0.862,0.412,bus_economicpolicy
The World Bank Economic Review,The World Bank Economic Review,1,1,bus_economicpolicy
The World Bank Economic Review,The Korean Economic Review,0.919,0.71,bus_economicpolicy
The World Bank Economic Review,The Singapore Economic Review,0.884,0.677,bus_economicpolicy
Review of Economic Dynamics,Review of Economic Dynamics,1,1,bus_economicpolicy
Review of Economic Dynamics,Review of Economic Design,0.946,0.714,bus_economicpolicy
Review of Economic Dynamics,Review of economics,0.941,0.714,bus_economicpolicy
Oxford Review of Economic Policy,Oxford Review of Economic Policy,1,1,bus_economicpolicy
Oxford Review of Economic Policy,Oxford Review of Education,0.898,0.576,bus_economicpolicy
Oxford Review of Economic Policy,Oxford Medical Case Reports,0.833,0.333,bus_economicpolicy
Journal of Policy Modeling,Journal of Policy Modeling,1,1,bus_economicpolicy
Journal of Policy Modeling,Journal of choice modelling,0.946,0.75,bus_economicpolicy
Journal of Policy Modeling,Journal of Policy Reform,0.927,0.667,bus_economicpolicy
"Journal of Money, Credit and Banking","Journal of Money, Credit and Banking",1,1,bus_economicpolicy
"Journal of Money, Credit and Banking",Journal of Education and Learning,0.902,0.541,bus_economicpolicy
"Journal of Money, Credit and Banking",Journal of System Design and Dynamics,0.895,0.395,bus_economicpolicy
Journal of Monetary Economics,Journal of Monetary Economics,1,1,bus_economicpolicy
Journal of Monetary Economics,Journal of Econometrics,0.924,0.7,bus_economicpolicy
Journal of Monetary Economics,Journal of Macroeconomics,0.924,0.7,bus_economicpolicy
Journal of Macroeconomics,Journal of Macroeconomics,1,1,bus_economicpolicy
Journal of Macroeconomics,Journal of Micromechatronics,0.938,0.724,bus_economicpolicy
Journal of Macroeconomics,Journal of Economics,0.93,0.769,bus_economicpolicy
Journal of International Money and Finance,Journal of International Money and Finance,1,1,bus_economicpolicy
Journal of International Money and Finance,Journal of international finance and economics,0.939,0.809,bus_economicpolicy
Journal of International Money and Finance,Journal of International Management,0.923,0.651,bus_economicpolicy
Journal of Financial Stability,Journal of Financial Stability,1,1,bus_economicpolicy
Journal of Financial Stability,Journal of Financial Studies,0.931,0.742,bus_economicpolicy
Journal of Financial Stability,Journal of Financial Therapy,0.931,0.71,bus_economicpolicy
International Journal of Central Banking,International Journal of Central Banking,1,1,bus_economicpolicy
International Journal of Central Banking,International Journal of Electronic Banking,0.956,0.773,bus_economicpolicy
International Journal of Central Banking,International Journal of Neonatal Screening,0.951,0.705,bus_economicpolicy
International Economics,International Economics,1,1,bus_economicpolicy
International Economics,International Economic Review,0.943,0.733,bus_economicpolicy
International Economics,International Economic Policy,0.943,0.733,bus_economicpolicy
IMF Economic Review,IMF Economic Review,1,1,bus_economicpolicy
IMF Economic Review,Fuzzy economic review,0.901,0.727,bus_economicpolicy
IMF Economic Review,Turkish Economic Review,0.878,0.667,bus_economicpolicy
European Economic Review,European Economic Review,1,1,bus_economicpolicy
European Economic Review,European Finance Review,0.921,0.64,bus_economicpolicy
European Economic Review,European neurological review,0.913,0.586,bus_economicpolicy
Emerging Markets Finance and Trade,Emerging Markets Finance and Trade,1,1,bus_economicpolicy
Emerging Markets Finance and Trade,Emerging Markets Review,0.897,0.486,bus_economicpolicy
Emerging Markets Finance and Trade,Emerging Markets Journal,0.874,0.514,bus_economicpolicy
Economic Systems,Economic Systems,1,1,bus_economicpolicy
Economic Systems,Economic Synopses,0.94,0.667,bus_economicpolicy
Economic Systems,Economic Systems Research,0.928,0.654,bus_economicpolicy
Economic Analysis and Policy,Economic Analysis and Policy,1,1,bus_economicpolicy
Economic Analysis and Policy,Economic Analysis,0.921,0.621,bus_economicpolicy
Economic Analysis and Policy,Economic Analysis of Law Review,0.904,0.562,bus_economicpolicy
Brookings Papers on Economic Activity,Brookings Trade Forum,0.826,0.263,bus_economicpolicy
Brookings Papers on Economic Activity,Brain Inspired Cognitive Systems,0.787,0.237,bus_economicpolicy
Brookings Papers on Economic Activity,Bioinorganic Chemistry and Applications,0.754,0.3,bus_economicpolicy
American Economic Journal: Macroeconomics,American Economic Journal: Macroeconomics,1,1,bus_economicpolicy
American Economic Journal: Macroeconomics,American Economic Journal: Microeconomics,0.965,0.952,bus_economicpolicy
American Economic Journal: Macroeconomics,American Economic Journal: Economic Policy,0.94,0.791,bus_economicpolicy
American Economic Journal: Economic Policy,American Economic Journal: Economic Policy,1,1,bus_economicpolicy
American Economic Journal: Economic Policy,American Economic Journal: Microeconomics,0.945,0.814,bus_economicpolicy
American Economic Journal: Economic Policy,American Economic Journal: Macroeconomics,0.94,0.791,bus_economicpolicy
SIAM Journal on Mathematical Analysis,Siam Journal on Mathematical Analysis,1,1,phy_mathematicalanalysis
SIAM Journal on Mathematical Analysis,SIAM Journal on Numerical Analysis,0.924,0.763,phy_mathematicalanalysis
SIAM Journal on Mathematical Analysis,Siam Journal on Applied Mathematics,0.912,0.737,phy_mathematicalanalysis
Nonlinear Analysis,Nonlinear Dynamics,0.907,0.632,phy_mathematicalanalysis
Nonlinear Analysis,Nonlinear Analysis: Hybrid Systems,0.906,0.543,phy_mathematicalanalysis
Nonlinear Analysis,Nonlinear Oscillations,0.898,0.478,phy_mathematicalanalysis
Mediterranean Journal of Mathematics,Mediterranean Journal of Mathematics,1,1,phy_mathematicalanalysis
Mediterranean Journal of Mathematics,Mediterranean Journal of Chemistry,0.947,0.73,phy_mathematicalanalysis
Mediterranean Journal of Mathematics,mediterranean journal of humanities,0.942,0.757,phy_mathematicalanalysis
Mathematical Methods in the Applied Sciences,Mathematical Methods in The Applied Sciences,1,1,phy_mathematicalanalysis
Mathematical Methods in the Applied Sciences,Mathematical Methods in Computer Science,0.911,0.711,phy_mathematicalanalysis
Mathematical Methods in the Applied Sciences,Mathematical Models and Methods in Applied Sciences,0.894,0.788,phy_mathematicalanalysis
Journal of Nonlinear Sciences & Applications (JNSA),Journal of Nonlinear Science,0.91,0.538,phy_mathematicalanalysis
Journal of Nonlinear Sciences & Applications (JNSA),Journal of Marine Science and Application,0.897,0.615,phy_mathematicalanalysis
Journal of Nonlinear Sciences & Applications (JNSA),Journal of Nonlinear Optical Physics & Materials,0.892,0.558,phy_mathematicalanalysis
Journal of Mathematical Analysis and Applications,Journal of Mathematical Analysis and Applications,1,1,phy_mathematicalanalysis
Journal of Mathematical Analysis and Applications,Journal of Mathematics and Applications,0.918,0.78,phy_mathematicalanalysis
Journal of Mathematical Analysis and Applications,Journal of Electromagnetic Analysis and Applications,0.917,0.755,phy_mathematicalanalysis
Journal of Inequalities and Applications,Journal of Inequalities and Applications,1,1,phy_mathematicalanalysis
Journal of Inequalities and Applications,Journal of Integral Equations and Applications,0.908,0.766,phy_mathematicalanalysis
Journal of Inequalities and Applications,Journal of Inequalities in Pure & Applied Mathematics,0.907,0.63,phy_mathematicalanalysis
Journal of Functional Analysis,Journal of Functional Analysis,1,1,phy_mathematicalanalysis
Journal of Functional Analysis,Journal of Functional Polymers,0.933,0.774,phy_mathematicalanalysis
Journal of Functional Analysis,Journal of Logic and Analysis,0.93,0.645,phy_mathematicalanalysis
Journal of Fixed Point Theory and Applications,Journal of Fixed Point Theory and Applications,1,1,phy_mathematicalanalysis
Journal of Fixed Point Theory and Applications,Journal of Control Theory and Applications,0.894,0.766,phy_mathematicalanalysis
Journal of Fixed Point Theory and Applications,Journal of the Japan Society for Oriental Medicine,0.893,0.451,phy_mathematicalanalysis
Journal of Differential Equations,Journal of Differential Equations,1,1,phy_mathematicalanalysis
Journal of Differential Equations,Journal of Experiential Education,0.938,0.676,phy_mathematicalanalysis
Journal of Differential Equations,Journal of Industrial Relations,0.929,0.618,phy_mathematicalanalysis
Journal de Mathématiques Pures et Appliquées,Journal de Mathématiques Pures et Appliquées,1,1,phy_mathematicalanalysis
Journal de Mathématiques Pures et Appliquées,Journal De Physique Lettres,0.88,0.422,phy_mathematicalanalysis
Journal de Mathématiques Pures et Appliquées,Journal De Physique Et Le Radium,0.864,0.4,phy_mathematicalanalysis
Fractional Calculus and Applied Analysis,Fractional Calculus and Applied Analysis,1,1,phy_mathematicalanalysis
Fractional Calculus and Applied Analysis,Fractals,0.84,0.171,phy_mathematicalanalysis
Fractional Calculus and Applied Analysis,Fractional Differentiation and its Applications,0.824,0.479,phy_mathematicalanalysis
Discrete and Continuous Dynamical Systems,Discrete and Continuous Dynamical Systems,1,1,phy_mathematicalanalysis
Discrete and Continuous Dynamical Systems,Discrete and Continuous Dynamical Systems-series B,0.964,0.824,phy_mathematicalanalysis
Discrete and Continuous Dynamical Systems,Discrete and Continuous Dynamical Systems - Series S,0.958,0.792,phy_mathematicalanalysis
Communications on Pure and Applied Mathematics,Communications on Pure and Applied Mathematics,1,1,phy_mathematicalanalysis
Communications on Pure and Applied Mathematics,Communications on Pure and Applied Analysis,0.946,0.766,phy_mathematicalanalysis
Communications on Pure and Applied Mathematics,Communications in Applied Numerical Methods,0.91,0.596,phy_mathematicalanalysis
Calculus of Variations and Partial Differential Equations,Calculus of Variations and Partial Differential Equations,1,1,phy_mathematicalanalysis
Calculus of Variations and Partial Differential Equations,California Western international law journal,0.804,0.259,phy_mathematicalanalysis
Calculus of Variations and Partial Differential Equations,Caucasian Review of International Affairs,0.793,0.328,phy_mathematicalanalysis
Boundary Value Problems,Boundary Value Problems,1,1,phy_mathematicalanalysis
Boundary Value Problems,boundary 2,0.858,0.375,phy_mathematicalanalysis
Boundary Value Problems,Boundary-Layer Meteorology,0.832,0.37,phy_mathematicalanalysis
Archive for Rational Mechanics and Analysis,Archive for Rational Mechanics and Analysis,1,1,phy_mathematicalanalysis
Archive for Rational Mechanics and Analysis,Archives of Mechanical Technology and Materials,0.875,0.521,phy_mathematicalanalysis
Archive for Rational Mechanics and Analysis,Archives of materials science and engineering,0.856,0.37,phy_mathematicalanalysis
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire","Annales de l'Institut Henri Poincaré C, Analyse non linéaire",1,1,phy_mathematicalanalysis
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",Annales De L Institut Henri Poincare-analyse Non Lineaire,0.914,0.885,phy_mathematicalanalysis
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",Annales de l'Institut Fourier,0.869,0.377,phy_mathematicalanalysis
Analysis & Partial Differential Equations,Analysis & PDE,0.868,0.286,phy_mathematicalanalysis
Analysis & Partial Differential Equations,Analysis and Applications,0.853,0.357,phy_mathematicalanalysis
Analysis & Partial Differential Equations,Analysis in Theory and Applications,0.852,0.357,phy_mathematicalanalysis
Advances in Difference Equations,Advances in Difference Equations,1,1,phy_mathematicalanalysis
Advances in Difference Equations,Advances in Differential Equations,0.944,0.857,phy_mathematicalanalysis
Advances in Difference Equations,Advances in engineering education,0.902,0.559,phy_mathematicalanalysis
Women's History Review,Womens History Review,0.991,0.913,soc_history
Women's History Review,Women's Rights Law Reporter,0.882,0.429,soc_history
Women's History Review,Women's Health Medicine,0.853,0.375,soc_history
Urban History,Urban History,1,1,soc_history
Urban History,German History,0.877,0.667,soc_history
Urban History,Labour History,0.871,0.6,soc_history
The Journal of Economic History,The Journal of Economic History,1,1,soc_history
The Journal of Economic History,The journal of economic asymmetries,0.946,0.667,soc_history
The Journal of Economic History,The Journal of American History,0.94,0.75,soc_history
The History of the Family,The History of The Family,1,1,soc_history
The History of the Family,The History Teacher,0.884,0.538,soc_history
The History of the Family,The History of Korean Education,0.879,0.469,soc_history
The Historical Journal,The Historical Journal,1,1,soc_history
The Historical Journal,The Polar Journal,0.921,0.522,soc_history
The Historical Journal,The Historian,0.918,0.478,soc_history
The Economic History Review,The Economic History Review,1,1,soc_history
The Economic History Review,The History Education Review,0.899,0.724,soc_history
The Economic History Review,The Economist,0.896,0.464,soc_history
The American Historical Review,The American Historical Review,1,1,soc_history
The American Historical Review,The American University law review,0.902,0.571,soc_history
The American Historical Review,The American Interest,0.897,0.484,soc_history
Rethinking History,Rethinking History,1,1,soc_history
Rethinking History,Rethinking Marxism,0.897,0.632,soc_history
Rethinking History,Rethinking Schools,0.897,0.579,soc_history
Past & Present,Past & Present,1,1,soc_history
Past & Present,Past Imperfect,0.866,0.4,soc_history
Past & Present,Passenger Transport,0.803,0.3,soc_history
Medical History,Medical History,1,1,soc_history
Medical History,Media History,0.973,0.75,soc_history
Medical History,Medical Dosimetry,0.937,0.556,soc_history
Journal of Urban History,Journal of Urban History,1,1,soc_history
Journal of Urban History,Journal of Natural History,0.934,0.741,soc_history
Journal of Urban History,Journal of Global History,0.933,0.769,soc_history
Journal of Historical Geography,Journal of Historical Geography,1,1,soc_history
Journal of Historical Geography,Journal of Historical Pragmatics,0.923,0.697,soc_history
Journal of Historical Geography,Journal of Histology,0.919,0.562,soc_history
Journal of Global History,Journal of Global History,1,1,soc_history
Journal of Global History,Journal of Global Ethics,0.941,0.731,soc_history
Journal of Global History,Journal of Belgian History,0.935,0.704,soc_history
Journal of Contemporary History,Journal of Contemporary History,1,1,soc_history
Journal of Contemporary History,Journal of Contemporary China,0.947,0.781,soc_history
Journal of Contemporary History,Journal of Contemporary Asia,0.946,0.75,soc_history
History and Theory,History and Theory,1,1,soc_history
History and Theory,History and Technology,0.932,0.609,soc_history
History and Theory,History and Anthropology,0.919,0.56,soc_history
History Compass,History Compass,1,1,soc_history
History Compass,Historicky Casopis,0.899,0.526,soc_history
History Compass,History,0.893,0.5,soc_history
Comparative Studies in Society and History,Comparative Studies in Society and History,1,1,soc_history
Comparative Studies in Society and History,"Comparative Studies of South Asia, Africa and The Middle East",0.867,0.435,soc_history
Comparative Studies in Society and History,Comparative Education,0.862,0.302,soc_history
Business History Review,Business History Review,1,1,soc_history
Business History Review,Business History,0.939,0.708,soc_history
Business History Review,Business Strategy Review,0.921,0.72,soc_history
Business History,Business History,1,1,soc_history
Business History,Business History Review,0.939,0.708,soc_history
Business History,Business Horizons,0.911,0.611,soc_history
Australian Historical Studies,Australian Historical Studies,1,1,soc_history
Australian Historical Studies,Australian Feminist Studies,0.92,0.7,soc_history
Australian Historical Studies,Australian Literary Studies,0.902,0.633,soc_history
World psychiatry,World Psychiatry,1,1,med_psychiatry
World psychiatry,World hospitals,0.877,0.353,med_psychiatry
World psychiatry,World water,0.876,0.412,med_psychiatry
Translational Psychiatry,Translational Psychiatry,1,1,med_psychiatry
Translational Psychiatry,Translational pediatrics,0.921,0.72,med_psychiatry
Translational Psychiatry,Translational Proteomics,0.913,0.6,med_psychiatry
The Lancet Psychiatry,The Lancet Psychiatry,1,1,med_psychiatry
The Lancet Psychiatry,The Lancet HIV,0.91,0.545,med_psychiatry
The Lancet Psychiatry,The Lancet,0.895,0.5,med_psychiatry
The British Journal of Psychiatry,The British journal of psychiatry. Supplement,0.947,0.717,med_psychiatry
The British Journal of Psychiatry,The British Journal of Chiropractic,0.933,0.694,med_psychiatry
The British Journal of Psychiatry,The British Journal of Physical Education,0.926,0.595,med_psychiatry
Schizophrenia Research,Schizophrenia Research,1,1,med_psychiatry
Schizophrenia Research,Schizophrenia Research: Cognition,0.933,0.647,med_psychiatry
Schizophrenia Research,Schizophrenia Research and Treatment,0.922,0.622,med_psychiatry
Schizophrenia Bulletin,Schizophrenia Bulletin,1,1,med_psychiatry
Schizophrenia Bulletin,Schizophrenia Research,0.873,0.609,med_psychiatry
Schizophrenia Bulletin,Schizophrenia Research: Cognition,0.862,0.471,med_psychiatry
Psychological Medicine,Psychological Medicine,1,1,med_psychiatry
Psychological Medicine,Psychological Science,0.943,0.696,med_psychiatry
Psychological Medicine,Psychological Services,0.927,0.652,med_psychiatry
Psychiatry Research,Psychiatry Research-neuroimaging,0.919,0.576,med_psychiatry
Psychiatry Research,Psychotherapy Research,0.909,0.652,med_psychiatry
Psychiatry Research,Psychiatry MMC,0.898,0.55,med_psychiatry
